ID_PROD_UNID_FAT,QTD_FINAL_V33,NEC_DIRETA_PCS_V33,NEC_ESTRUTURAL_BRUTA_PCS_V33,ESTOQUE_ESTRUTURAL_CONSUMIDO_PCS_V33,NEC_ESTRUTURAL_PCS_V33,NEC_TOTAL_PCS_V33,QTD_PRODUZIR_DIRETA_SOLVER_V33,QTD_PRODUZIR_ESTRUTURAL_SOLVER_V33,DIF_FALTA_PAI_FILHO_V33,DIF_SOBRA_PAI_FILHO_V33
AGO26|ACESSÓRIOS|0798PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0817PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0859TB-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0860AB-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0860AR-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0860PO-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0860TB-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0860TE-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0860TS-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0860VD-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|0861TE-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1070704COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1070704GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1130910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1189TS-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1209AR-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1209PO-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1209TB-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1209TE-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1210TE-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1560100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1560200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1570100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|1919TS-BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2130PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
